ProductId,Score,Text
B000KV61FC,5,"Jack, our 3 year old LabraDoodle (I refer to him as a ""LabraDingo"" sometimes because he's so nutsy) really enjoyed this Jug -- our second one lasted 7 months of heavy use before the rubberized rope broke.  (Another reviewer suggested inserting a tennis ball into the now-ropeless jug in order to salvage it; I'll try that, but am not enamored with the idea of mixing a tennis ball with edible things).  It seems to be his favorite toy -- a good balance of enticement, challenge and reward.<br /><br />PRO:<br />Keeps our dog engaged.<br />Good price ($10 currently)<br /><br />CON:<br />It can be loud rolling around and crashing into things.<br />Hard plastic should be washed before use; unknown chemical safety.<br />Limited durability, but fine for the price.<br /><br />Net: I'm ordering our third!"
B000NMJWZO,4,"I was diagnosed with Gluten Intolerance recently, and was at a loss as to what I could eat - and enjoy!  Upon discovering Pamela's Baking Mix I was pleasantly surprised that I could make Gluten Free pancakes, pound cake, pumpkin bread (etc) that my family enjoyed eating too!  I'm very happy to have found this product as there aren't many mixes out there that are so versatile and relatively inexpensive.  Pamela's Mix also lasts a while too, so you aren't having to buy yet another mix every time you turn around.  I highly recommend this product."
B000GAT6NG,5,I am sold on this item. From a cooking point I knew it was good for you after reading about it in forums... However was hesitant when it came to putting it on your skin for moisturizer etc.. After trying I must say it works great. I thought it would be greasy but really its not. Plus the smell is great. The other day my sisters dog was spelling my head for ever. I thought it was so funny. Anyways this product is great and it has a nice subtle taste to it as well. Works great for anything including greasing a pan for eggs to making Thai dishes. You name it.. you can use this product.
B000KV61FC,3,"I bought this for my 4 month old Frenchie and he just seems absolutely disinterested in it lol. The way the bottle is shaped along with the rope it's almost ""by accident"" that the treats come out. He plays with it for about 5 minutes but then goes back to his IQ TREAT BALL that I also bought on Amazon. I feel like you have to basically flip this bottle upside down and mess with the rope for it to come out and I don't see Jackson being able to do that. If the bottle is laying flat as in the picture, how does the treat come up the neck and out the hole? He does grab the rope and run around with the bottle but I can tell this is not his most favorite toy."
B006MONQMC,3,"I drink a lot of water, and it can range from the bottled variety to basic tap water, depending on where I am at the time. I also like freshly-squeezed lemonade, which is about as basic a water additive as can be found. Iced tea is also a good basic water changer, as is iced coffee. Am not super picky about the amount of sweetener that is added, as long as it's with some form or real sugar, and not some chemical additive; for some reason they don't seem to agree with me. But lemonade, iced tea and iced coffee all take time to prepare.<br /><br />This <a href=""http://www.amazon.com/gp/product/B006MONQMC"">Vitamin Squeeze Energy Drink</a> in the Fruit Punch flavor presents an interesting and convenient way to alter the flavor of plain tap water for those who like it that way. It's convenient enough: refrigerate it, and then just add one squeeze for each eight ounces of water, as it says on the container. The container also notes that each squeeze adds more flavor and nutrition, and that one container makes 24 servings. It's hard to get more convenient than that.<br /><br />Looking at the container, it proclaims that there are zero calories, zero sugar and zero carbs. It also says:<br /><br />""Vitamin Squeeze(tm) adds Vitamins, Nutrition, and Delicious ALL NATURAL flavor to your drinking water.""<br /><br />And although there are various vitamin additives, there are some small problems, the first being that this bright red drink that resembles <a href=""http://www.amazon.com/gp/product/B003ZRZNMA"">Hawaiian Punch</a> in the Fruit Juicy Red flavor, it really doesn't taste that good, but that's a subjective opinion. And though sometimes one can learn to adapt to a new taste, this product has an aftertaste that lingers, and it's a distinctive taste that seems to dwell in the mouth, the kind that reminds one of an artificial sweetener. And according to the label, that's precisely why that aftertaste is there.<br /><br />The ingredients are listed on the product label and the information page here: water, citric acid, vitamin C, natural flavor, sucralose, natural caffeine, sodium benzoate, potassium sorbate, magnesium lactate, vitamin B3, vitamin B6, calcium lactate, potassium phosphate, vitamin A, palmitate, vitamin E, vitamin B6, vitamin B12.  It's not apparent at first, as no brand name jumps out, but there's an ingredient that is probably responsible for the aftertaste: sucralose.<br /><br />Some may not know this, but sucralose is an FDA-approved artificial sweetener which goes by the trade name of Splenda, and most sources agree that it's around 600 times sweeter than sugar, so manufacturers need to use only a small amount. Sucralose shouldn't be confused with sucrose, which is basically table sugar.  While is derived from sugar, sucrose is not a component in this sweetener. Sucralose is made by adding chlorine to sucrose, yet the sucrose itself goes away during the complex manufacturing process.<br /><br />On its positive side, sucralose is found in thousands of food and beverage products.  It's used because it is a no-calorie sweetener, and does not promote dental cavities.  It's also safe for consumption by diabetics, as it doesn't affect insulin levels, and for some can be a good thing.  Did some checking and the safety of sucralose appears to be well documented in more than 100 scientific studies conducted over a 20-year period.  Sucralose has been reviewed by the FDA, as well as by international health authorities such as the World Health Organization.  It is said to be safe for use by all consumers.<br /><br />But iced tea without sweeteners has no calories, and the same goes for iced coffee.  And above all, plain water, be it from a bottle or from the tap is exempt as well.  I'm no health fanatic, and as a cyclist do often indulge in <a href=""http://www.amazon.com/gp/product/B003UYCZN8"">Gatorade</a> sports drinks, which are said to have a small amount of sucralose, depending on the flavor.  As a personal taste, and this is highly subjective, this one didn't work for me, but I'm not ruling this product family out, as the <a href=""http://www.amazon.com/gp/product/B006MONQJU"">Vitamin Squeeze Energy Drink, Tropical Citrus</a> may be an improvement in taste.<br /><br />6/21/2012"
B004EAGP74,3,This product is supposed to be very good for you. But you need to make sure that you like coconut flavor...because it will add a little coconut flavor to your food. It is a little annoying that you have to melt the oil everytime you want to use it. But if you want the health benefits it is worth it. I haven't used it long enough to recognize any changes or benefits in my health.
B000KV61FC,3,"We got this for our 45lb dog and it occupied him for 30 minutes the first time we gave it to him. He had a little trouble getting a treat out. A miracle! However he is a smart dog and quickly learned how it worked. A scoop of food that used to last him 20+ minutes now only lasted him 10 minutes. Unfortunately after a couple of weeks, the plastic lid that screws onto the jug cracked and it is now useless. This is probably best for pet owners with carpeting since my dog would pick it up and drop it constantly to get the treats out which would be very noisy."
B000GAT6NG,5,"I have used coconut oil for some time now, and I found that I go through it so fast that the 1 lb. jars were not a good deal for me any longer.  This is a great size for my family and the price was very good.  I hope that amazon continues to carry this product."
B000KV61FC,5,"""Sam"" loves this toy the best.  He is a heavy chewer and this item really lasts.  However, you should note that the rope probably won't last for heavy chewers.  I purchased small rubber balls at Pets Mart (2 or 3) and put them in the jug.  (opens at the bottom).  These actually work better than the rope for heavy chewers.  Thanks for a great product!"
B006MONQMC,3,"Vitamins in a caffeinated energy drink - probably not what you really want to give smaller kids.  My wife and I decided we didn't like the taste very much and although our oldest daughter liked it a lot, my 45 year old palate found it underwhelming.<br /><br />For those who remember what it is, it tasted very much like Hawaiian Punch.<br /><br />It's sweetened with sucralose (aka Splenda) which is much better than aspertame (aka Nutrasweet) in terms of taste and potential side effects."
B004EAGP74,5,I order this product for the first time just to try it. Now this is the only type of oil I used for cooking. Plus the seller was really fast sending the products to me.
B006MONQMC,5,"Vitamin Squeeze Energy Drink, Fruit Punch flavor is delicious. It's in an easy to hold, flexible 12-Ounce container with a flip top. The Fruit Punch flavor is fortified with Vitamin C; 120% of the recommended daily total and taurine which is an essential nutrient said to be necessary for retinal health and found in animal protein. If you're a vegetarian like I am this might be for you! I take it with me to work and add it to my after noon glass of water for a quick pick me up.<br />On the plus side: The color is a vibrant red, there is no nasty after taste. The flavor can be as rich and full as you like, there are no calories, no jittery feeling and no crash. It includes electrolytes which sometimes need replenished due to aggressive work outs or fluid depleting illness. Also the container is double that of the MiO water enhancers.<br />On the down side, it leaves an odd residue on the inside of plastic bottles, so if you are one that likes to reuse them, you won't want to keep the bottle for long. Also because it does that, I'm less inclined to use this product in my stainless steel drinking bottles. If you use it at home, the residue washes off easily with the slightest hand scrubbing. But I noticed it was still present after the dish washing cycle finished. I will say it may have been my dish machine soap not being top grade. If you are all about portability, it's a bulkier package than the MiO.<br /><br />I would highly recommend this product due to the convenience of having vitamins on the go, as well as on color and flavor."
